sanctionCountry,sanctionedName,sanctionReason,sanctionList,sdnType
United Kingdom,HAVIN BANK LIMITED,Sanctioned by OFAC,OFAC,Entity
France,HAVANATUR,Sanctioned by OFAC,OFAC,Entity
Spain,INSTITUTO NACIONAL DE TURISMO DE CUBA,Sanctioned by OFAC,OFAC,Entity
Panama,INTERCONSULT,Sanctioned by OFAC,OFAC,Entity
Panama,"KAVE, S.A.",Sanctioned by OFAC,OFAC,Entity
"Korea, North",LA EMPRESA CUBANA DE FLETES,Sanctioned by OFAC,OFAC,Entity
Argentina,"LEVERAGE, S.A.",Sanctioned by OFAC,OFAC,Entity
Netherlands,NIREF,Sanctioned by OFAC,OFAC,Entity
Liechtenstein,NORDSTRAND LTD.,Sanctioned by OFAC,OFAC,Entity
Greece,NORDSTRAND MARITIME AND TRADING COMPANY,Sanctioned by OFAC,OFAC,Entity
Panama,PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,Sanctioned by OFAC,OFAC,Entity
Spain,"PESCABRAVA, S.A.",Sanctioned by OFAC,OFAC,Entity
Mexico,PRELASA,Sanctioned by OFAC,OFAC,Entity
Canada,PRENSA LATINA CANADA LTD.,Sanctioned by OFAC,OFAC,Entity
Spain,PRENSA LATINA,Sanctioned by OFAC,OFAC,Entity
Panama,"SERVINAVES, S.A.",Sanctioned by OFAC,OFAC,Entity
Panama,"TROBER, S.A.",Sanctioned by OFAC,OFAC,Entity
Germany,TROPIC TOURS GMBH,Sanctioned by OFAC,OFAC,Entity
Spain,"VIAJES GUAMA, S.A.",Sanctioned by OFAC,OFAC,Entity
Mexico,VINALES TOURS,Sanctioned by OFAC,OFAC,Entity
Unknown,ABBAS,Sanctioned by OFAC,OFAC,Individual
Unknown,AL RAHMAN,Sanctioned by OFAC,OFAC,Individual
Unknown,AL ZAWAHIRI,Sanctioned by OFAC,OFAC,Individual
Egypt,AL-ZOMOR,Sanctioned by OFAC,OFAC,Individual
Unknown,AWDA,Sanctioned by OFAC,OFAC,Individual
Unknown,FADLALLAH,Sanctioned by OFAC,OFAC,Individual
Unknown,HAWATMA,Sanctioned by OFAC,OFAC,Individual
Unknown,ISLAMBOULI,Sanctioned by OFAC,OFAC,Individual
Unknown,JABRIL,Sanctioned by OFAC,OFAC,Individual
Unknown,NAJI,Sanctioned by OFAC,OFAC,Individual
Lebanon,NASRALLAH,Sanctioned by OFAC,OFAC,Individual
Unknown,TUFAYLI,Sanctioned by OFAC,OFAC,Individual
undetermined,YASSIN,Sanctioned by OFAC,OFAC,Individual
Canada,COBALT REFINERY CO. INC.,Sanctioned by OFAC,OFAC,Entity
Cuba,LA COMPANIA GENERAL DE NIQUEL,Sanctioned by OFAC,OFAC,Entity
Canada,INTERNATIONAL COBALT CO. INC.,Sanctioned by OFAC,OFAC,Entity
Cuba,MOA NICKEL SA,Sanctioned by OFAC,OFAC,Entity
Unknown,ABU MARZOOK,Sanctioned by OFAC,OFAC,Individual
Colombia,RODRIGUEZ OREJUELA,Sanctioned by OFAC,OFAC,Individual
Unknown,MAR AZUL,Sanctioned by OFAC,OFAC,Vessel
Unknown,EBANO,Sanctioned by OFAC,OFAC,Vessel
Unknown,TIFON,Sanctioned by OFAC,OFAC,Vessel
Syria,ABDALLAH,Sanctioned by OFAC,OFAC,Individual
Iran,BANK MARKAZI JOMHOURI ISLAMI IRAN,Sanctioned by OFAC,OFAC,Entity
Iran,BANK MASKAN,Sanctioned by OFAC,OFAC,Entity
Iran,BANK REFAH KARGARAN,Sanctioned by OFAC,OFAC,Entity
Iran,BANK KESHAVARZI IRAN,Sanctioned by OFAC,OFAC,Entity
United Kingdom,BANK SADERAT PLC,Sanctioned by OFAC,OFAC,Entity
Unknown,ABU SAYYAF GROUP,Sanctioned by OFAC,OFAC,Entity
Unknown,ARMED ISLAMIC GROUP,Sanctioned by OFAC,OFAC,Entity
Unknown,AUM SHINRIKYO,Sanctioned by OFAC,OFAC,Entity
Unknown,EUZKADI TA ASKATASUNA,Sanctioned by OFAC,OFAC,Entity
Unknown,GAMA'A AL-ISLAMIYYA,Sanctioned by OFAC,OFAC,Entity
Unknown,HAMAS,Sanctioned by OFAC,OFAC,Entity
Unknown,HARAKAT UL-MUJAHIDEEN,Sanctioned by OFAC,OFAC,Entity
Unknown,HIZBALLAH,Sanctioned by OFAC,OFAC,Entity
Unknown,KAHANE CHAI,Sanctioned by OFAC,OFAC,Entity
Unknown,KURDISTAN WORKERS' PARTY,Sanctioned by OFAC,OFAC,Entity
Unknown,LIBERATION TIGERS OF TAMIL EELAM,Sanctioned by OFAC,OFAC,Entity
Unknown,NATIONAL LIBERATION ARMY,Sanctioned by OFAC,OFAC,Entity
Unknown,PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION,Sanctioned by OFAC,OFAC,Entity
Unknown,PALESTINE LIBERATION FRONT - ABU ABBAS FACTION,Sanctioned by OFAC,OFAC,Entity
Unknown,POPULAR FRONT FOR THE LIBERATION OF PALESTINE,Sanctioned by OFAC,OFAC,Entity
Unknown,POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND,Sanctioned by OFAC,OFAC,Entity
Unknown,REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT,Sanctioned by OFAC,OFAC,Entity
Unknown,REVOLUTIONARY PEOPLE'S STRUGGLE,Sanctioned by OFAC,OFAC,Entity
Unknown,SHINING PATH,Sanctioned by OFAC,OFAC,Entity
Unknown,DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION,Sanctioned by OFAC,OFAC,Entity
Unknown,BIN LADIN,Sanctioned by OFAC,OFAC,Individual
Unknown,AL QA'IDA,Sanctioned by OFAC,OFAC,Entity
Unknown,AL-MASRI,Sanctioned by OFAC,OFAC,Individual
Unknown,MUSA,Sanctioned by OFAC,OFAC,Individual
Colombia,COLOMBIANA DE CERDOS LTDA.,Sanctioned by OFAC,OFAC,Entity
Colombia,DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.,Sanctioned by OFAC,OFAC,Entity
Colombia,MATADERO METROPOLITANO LTDA.,Sanctioned by OFAC,OFAC,Entity
Afghanistan,OMAR,Sanctioned by OFAC,OFAC,Individual
Afghanistan,TALIBAN,Sanctioned by OFAC,OFAC,Entity
Colombia,COMERCIALIZADORA DE CARNES LTDA.,Sanctioned by OFAC,OFAC,Entity
Colombia,SERVIAUTOS UNO A 1A LIMITADA,Sanctioned by OFAC,OFAC,Entity
Unknown,AMEZCUA CONTRERAS,Sanctioned by OFAC,OFAC,Individual
Unknown,ARELLANO FELIX,Sanctioned by OFAC,OFAC,Individual
Unknown,CARO QUINTERO,Sanctioned by OFAC,OFAC,Individual
Unknown,CARRILLO FUENTES,Sanctioned by OFAC,OFAC,Individual
Unknown,CHANG,Sanctioned by OFAC,OFAC,Individual
Saint Kitts and Nevis,HEATH,Sanctioned by OFAC,OFAC,Individual
Unknown,OGUNGBUYI,Sanctioned by OFAC,OFAC,Individual
Unknown,WEI,Sanctioned by OFAC,OFAC,Individual
Colombia,HENAO MONTOYA,Sanctioned by OFAC,OFAC,Individual
Colombia,AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.,Sanctioned by OFAC,OFAC,Entity
Colombia,COMPANIA AGROINVERSORA HENAGRO LTDA.,Sanctioned by OFAC,OFAC,Entity
Colombia,DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.,Sanctioned by OFAC,OFAC,Entity
Colombia,MAQUINARIA TECNICA Y TIERRAS LTDA.,Sanctioned by OFAC,OFAC,Entity
Colombia,ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.,Sanctioned by OFAC,OFAC,Entity
Colombia,GONZALEZ BENITEZ,Sanctioned by OFAC,OFAC,Individual
Unknown,ISLAMIC MOVEMENT OF UZBEKISTAN,Sanctioned by OFAC,OFAC,Entity
Colombia,CAVIEDES DILEO Y CIA. S.C.S.,Sanctioned by OFAC,OFAC,Entity
Colombia,PATINO FOMEQUE,Sanctioned by OFAC,OFAC,Individual
Colombia,INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A,Sanctioned by OFAC,OFAC,Entity
Colombia,GALAPAGOS S.A,Sanctioned by OFAC,OFAC,Entity
Colombia,DUQUE BOTERO,Sanctioned by OFAC,OFAC,Individual
Colombia,ECHEVERRY HERRERA,Sanctioned by OFAC,OFAC,Individual
Ireland,NEW IRISH REPUBLICAN ARMY,Sanctioned by OFAC,OFAC,Entity
Unknown,AFGHAN,Sanctioned by OFAC,OFAC,Individual
Unknown,CARDENAS GUILLEN,Sanctioned by OFAC,OFAC,Individual
Unknown,GILBOA,Sanctioned by OFAC,OFAC,Individual
Unknown,GUZMAN LOERA,Sanctioned by OFAC,OFAC,Individual
Unknown,HAMIEH,Sanctioned by OFAC,OFAC,Individual
Unknown,HIGUERA GUERRERO,Sanctioned by OFAC,OFAC,Individual
Unknown,KHAN,Sanctioned by OFAC,OFAC,Individual
Unknown,MALHERBE DE LEON,Sanctioned by OFAC,OFAC,Individual
Unknown,RAMON MAGANA,Sanctioned by OFAC,OFAC,Individual
Unknown,UNITED SELF-DEFENSE FORCES OF COLOMBIA,Sanctioned by OFAC,OFAC,Entity
Unknown,ASBAT AL-ANSAR,Sanctioned by OFAC,OFAC,Entity
Unknown,SALAFIST GROUP FOR CALL AND COMBAT,Sanctioned by OFAC,OFAC,Entity
Unknown,LIBYAN ISLAMIC FIGHTING GROUP,Sanctioned by OFAC,OFAC,Entity
Unknown,AL-ITIHAAD AL-ISLAMIYA,Sanctioned by OFAC,OFAC,Entity
Unknown,ISLAMIC ARMY OF ADEN,Sanctioned by OFAC,OFAC,Entity
Unknown,AL-ADL,Sanctioned by OFAC,OFAC,Individual
Mauritania,AL-WALID,Sanctioned by OFAC,OFAC,Individual
Cuba,HUSAYN,Sanctioned by OFAC,OFAC,Individual
Cuba,AL-IRAQI,Sanctioned by OFAC,OFAC,Individual
Unknown,SHIHATA,Sanctioned by OFAC,OFAC,Individual
Unknown,AHMAD,Sanctioned by OFAC,OFAC,Individual
Pakistan,MAKHTAB AL-KHIDAMAT/AL KIFAH,Sanctioned by OFAC,OFAC,Entity
Unknown,WAFA HUMANITARIAN ORGANIZATION,Sanctioned by OFAC,OFAC,Entity
Pakistan,AL RASHID TRUST,Sanctioned by OFAC,OFAC,Entity
Germany,MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,Sanctioned by OFAC,OFAC,Entity
Afghanistan,ABDULLAH,Sanctioned by OFAC,OFAC,Individual
Afghanistan,ALI,Sanctioned by OFAC,OFAC,Individual
Unknown,AL-MUGHASSIL,Sanctioned by OFAC,OFAC,Individual
Unknown,AL-NASSER,Sanctioned by OFAC,OFAC,Individual
Unknown,AL-YACOUB,Sanctioned by OFAC,OFAC,Individual
Lebanon,ATWA,Sanctioned by OFAC,OFAC,Individual
Unknown,EL-HOORIE,Sanctioned by OFAC,OFAC,Individual
Unknown,FADHIL,Sanctioned by OFAC,OFAC,Individual
Unknown,GHAILANI,Sanctioned by OFAC,OFAC,Individual
Lebanon,IZZ-AL-DIN,Sanctioned by OFAC,OFAC,Individual
Unknown,MOHAMMED,Sanctioned by OFAC,OFAC,Individual
Unknown,YASIN,Sanctioned by OFAC,OFAC,Individual
Yemen,AL-HAMATI SWEETS BAKERIES,Sanctioned by OFAC,OFAC,Entity
Pakistan,JAISH-I-MOHAMMED,Sanctioned by OFAC,OFAC,Entity
Afghanistan,JAM'YAH TA'AWUN AL-ISLAMIA,Sanctioned by OFAC,OFAC,Entity
Pakistan,RABITA TRUST,Sanctioned by OFAC,OFAC,Entity
Pakistan,AGHA,Sanctioned by OFAC,OFAC,Individual
Yemen,AL-AHDAL,Sanctioned by OFAC,OFAC,Individual
Unknown,AL-HAQ,Sanctioned by OFAC,OFAC,Individual
Unknown,HAMDAN,Sanctioned by OFAC,OFAC,Individual
Unknown,AL-SHARIF,Sanctioned by OFAC,OFAC,Individual
Unknown,BIN MARWAN,Sanctioned by OFAC,OFAC,Individual
Germany,BIN MUHAMMAD,Sanctioned by OFAC,OFAC,Individual
Germany,DARKAZANLI,Sanctioned by OFAC,OFAC,Individual
Jordan,HIJAZI,Sanctioned by OFAC,OFAC,Individual
United Kingdom,UTHMAN,Sanctioned by OFAC,OFAC,Individual
Unknown,AWEYS,Sanctioned by OFAC,OFAC,Individual
West Bank,AL-AQSA ISLAMIC BANK,Sanctioned by OFAC,OFAC,Entity
West Bank,BEIT EL-MAL HOLDINGS,Sanctioned by OFAC,OFAC,Entity
United States,HOLY LAND FOUNDATION FOR RELIEF AND DEVELOPMENT,Sanctioned by OFAC,OFAC,Entity
Afghanistan,UMMAH TAMEER E-NAU,Sanctioned by OFAC,OFAC,Entity
Afghanistan,MAHMOOD,Sanctioned by OFAC,OFAC,Individual
Unknown,MAJEED,Sanctioned by OFAC,OFAC,Individual
Unknown,TUFAIL,Sanctioned by OFAC,OFAC,Individual
Pakistan,LASHKAR E-TAYYIBA,Sanctioned by OFAC,OFAC,Entity
United Kingdom,CONTINUITY IRA,Sanctioned by OFAC,OFAC,Entity
Spain,FIRST OF OCTOBER ANTIFASCIST RESISTANCE GROUP,Sanctioned by OFAC,OFAC,Entity
United Kingdom,LOYALIST VOLUNTEER FORCE,Sanctioned by OFAC,OFAC,Entity
United Kingdom,ORANGE VOLUNTEERS,Sanctioned by OFAC,OFAC,Entity
United Kingdom,RED HAND DEFENDERS,Sanctioned by OFAC,OFAC,Entity
United Kingdom,ULSTER DEFENCE ASSOCIATION,Sanctioned by OFAC,OFAC,Entity
Pakistan,BOULGHITI,Sanctioned by OFAC,OFAC,Individual
Pakistan,REVIVAL OF ISLAMIC HERITAGE SOCIETY,Sanctioned by OFAC,OFAC,Entity
South Africa,AL-LIBI,Sanctioned by OFAC,OFAC,Individual
Mexico,ACCESOS ELECTRONICOS S.A.DE C.V.,Sanctioned by OFAC,OFAC,Entity
Mexico,"ADMINISTRADORA DE INMUEBLES VIDA, S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Mexico,"ADP, S.C.",Sanctioned by OFAC,OFAC,Entity
Mexico,"COMPLEJO TURISTICO OASIS, S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Mexico,"DISTRIBUIDORA IMPERIAL DE BAJA CALIFORNIA, S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Mexico,"FARMACIA VIDA SUPREMA, S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Mexico,"FORPRES, S.C.",Sanctioned by OFAC,OFAC,Entity
Mexico,GEX EXPLORE S. DE R.L. DE C.V.,Sanctioned by OFAC,OFAC,Entity
Mexico,"OPERADORA VALPARK, S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Mexico,"VALPARK, S.A. DE C.V.",Sanctioned by OFAC,OFAC,Entity
Mexico,AGUILAR AMAO,Sanctioned by OFAC,OFAC,Individual
Mexico,AGUIRRE GALINDO,Sanctioned by OFAC,OFAC,Individual
Mexico,FREGOSO AMEZQUITA,Sanctioned by OFAC,OFAC,Individual
Mexico,GIL GARCIA,Sanctioned by OFAC,OFAC,Individual
Mexico,HERNANDEZ PULIDO,Sanctioned by OFAC,OFAC,Individual
Mexico,MIJARES TRANCOSO,Sanctioned by OFAC,OFAC,Individual
Mexico,MORENO MEDINA,Sanctioned by OFAC,OFAC,Individual
Mexico,OROPEZA MEDRANO,Sanctioned by OFAC,OFAC,Individual
Mexico,RAMIREZ AGUIRRE,Sanctioned by OFAC,OFAC,Individual
Mexico,TOLEDO CARREJO,Sanctioned by OFAC,OFAC,Individual
Unknown,ABAUNZA MARTINEZ,Sanctioned by OFAC,OFAC,Individual
Unknown,ALBERDI URANGA,Sanctioned by OFAC,OFAC,Individual
Unknown,ALCALDE LINARES,Sanctioned by OFAC,OFAC,Individual
Unknown,ALBISU IRIARTE,Sanctioned by OFAC,OFAC,Individual
Unknown,ARZALLUS TAPIA,Sanctioned by OFAC,OFAC,Individual
Unknown,ELCORO AYASTUY,Sanctioned by OFAC,OFAC,Individual
Unknown,FIGAL ARRANZ,Sanctioned by OFAC,OFAC,Individual
Unknown,GOGEASCOECHEA ARRONATEGUI,Sanctioned by OFAC,OFAC,Individual
Unknown,GOIRICELAYA GONZALEZ,Sanctioned by OFAC,OFAC,Individual
Unknown,IPARRAGUIRRE GUENECHEA,Sanctioned by OFAC,OFAC,Individual
Unknown,MORCILLO TORRES,Sanctioned by OFAC,OFAC,Individual
Unknown,MUGICA GONI,Sanctioned by OFAC,OFAC,Individual
Unknown,MUNOA ORDOZGOITI,Sanctioned by OFAC,OFAC,Individual
Unknown,NARVAEZ GONI,Sanctioned by OFAC,OFAC,Individual
Unknown,OLARRA GURIDI,Sanctioned by OFAC,OFAC,Individual
Unknown,ORBE SEVILLANO,Sanctioned by OFAC,OFAC,Individual
Unknown,OTEGUI UNANUE,Sanctioned by OFAC,OFAC,Individual
Unknown,PEREZ ARAMBURU,Sanctioned by OFAC,OFAC,Individual
Unknown,SAEZ DE EGUILAZ MURGUIONDO,Sanctioned by OFAC,OFAC,Individual
Unknown,URANGA ARTOLA,Sanctioned by OFAC,OFAC,Individual
Unknown,VILA MICHELENA,Sanctioned by OFAC,OFAC,Individual
Somalia,AL-HARAMAIN ISLAMIC FOUNDATION,Sanctioned by OFAC,OFAC,Entity
Unknown,AL-AQSA MARTYRS BRIGADE,Sanctioned by OFAC,OFAC,Entity
Pakistan,THE AID ORGANIZATION OF THE ULEMA,Sanctioned by OFAC,OFAC,Entity
Italy,AOUADI,Sanctioned by OFAC,OFAC,Individual
Unknown,BEN HENI,Sanctioned by OFAC,OFAC,Individual
Italy,BOUCHOUCHA,Sanctioned by OFAC,OFAC,Individual
Italy,ES SAYED,Sanctioned by OFAC,OFAC,Individual
Italy,ESSID,Sanctioned by OFAC,OFAC,Individual
United Kingdom,AL-FAWAZ,Sanctioned by OFAC,OFAC,Individual
Unknown,APAOLAZA SANCHO,Sanctioned by OFAC,OFAC,Individual
Unknown,BERASATEGUI ESCUDERO,Sanctioned by OFAC,OFAC,Individual
Unknown,GALLASTEGUI SODUPE,Sanctioned by OFAC,OFAC,Individual
Unknown,PALACIOS ALDAY,Sanctioned by OFAC,OFAC,Individual
Unknown,QUINTANA ZORROZUA,Sanctioned by OFAC,OFAC,Individual
Unknown,RUBENACH ROIG,Sanctioned by OFAC,OFAC,Individual
Unknown,ZUBIAGA BRAVO,Sanctioned by OFAC,OFAC,Individual
Spain,ASKATASUNA,Sanctioned by OFAC,OFAC,Entity
Unknown,DA COSTA,Sanctioned by OFAC,OFAC,Individual
Unknown,GONZALEZ QUIRARTE,Sanctioned by OFAC,OFAC,Individual
Unknown,IBRAHIM,Sanctioned by OFAC,OFAC,Individual
Unknown,KNOWLES,Sanctioned by OFAC,OFAC,Individual
Unknown,TUITO,Sanctioned by OFAC,OFAC,Individual
Mexico,ZAMBADA GARCIA,Sanctioned by OFAC,OFAC,Individual
Unknown,BABBAR KHALSA INTERNATIONAL,Sanctioned by OFAC,OFAC,Entity
Unknown,INTERNATIONAL SIKH YOUTH FEDERATION,Sanctioned by OFAC,OFAC,Entity
Unknown,NEW PEOPLE'S ARMY / COMMUNIST PARTY OF THE PHILIPPINES,Sanctioned by OFAC,OFAC,Entity
Netherlands,SISON,Sanctioned by OFAC,OFAC,Individual
Italy,BEN SOLTANE,Sanctioned by OFAC,OFAC,Individual
Tunisia,BEN ATTIA,Sanctioned by OFAC,OFAC,Individual
Unknown,CHEKKOURI,Sanctioned by OFAC,OFAC,Individual
Unknown,JELASSI,Sanctioned by OFAC,OFAC,Individual
Italy,KAMMOUN,Sanctioned by OFAC,OFAC,Individual
Unknown,KISHK,Sanctioned by OFAC,OFAC,Individual
Unknown,MAAROUFI,Sanctioned by OFAC,OFAC,Individual
Unknown,REMADNA,Sanctioned by OFAC,OFAC,Individual
Unknown,THAER,Sanctioned by OFAC,OFAC,Individual
Italy,TLILI,Sanctioned by OFAC,OFAC,Individual
Italy,WADDANI,Sanctioned by OFAC,OFAC,Individual
Unknown,EASTERN TURKISTAN ISLAMIC MOVEMENT,Sanctioned by OFAC,OFAC,Entity
Unknown,JULAIDAN,Sanctioned by OFAC,OFAC,Individual
Morocco,BAHAJI,Sanctioned by OFAC,OFAC,Individual
Cuba,BINALSHIBH,Sanctioned by OFAC,OFAC,Individual
Germany,EL MOTASSADEQ,Sanctioned by OFAC,OFAC,Individual
Germany,ESSABAR,Sanctioned by OFAC,OFAC,Individual
Unknown,TUNISIAN COMBAT GROUP,Sanctioned by OFAC,OFAC,Entity
United States,"GLOBAL RELIEF FOUNDATION, INC.",Sanctioned by OFAC,OFAC,Entity
Unknown,JEMAA ISLAMIYAH,Sanctioned by OFAC,OFAC,Entity
Colombia,GOMEZ BUSTAMANTE,Sanctioned by OFAC,OFAC,Individual
Colombia,MONTOYA SANCHEZ,Sanctioned by OFAC,OFAC,Individual
Colombia,AGRICOLA DOIMA DEL NORTE DEL VALLE LTDA.,Sanctioned by OFAC,OFAC,Entity
Colombia,AGROPECUARIA MIRALINDO S.A.,Sanctioned by OFAC,OFAC,Entity
Colombia,ARIZONA S.A.,Sanctioned by OFAC,OFAC,Entity
Colombia,GANADERIA EL VERGEL LTDA.,Sanctioned by OFAC,OFAC,Entity
Colombia,GANADERIAS BILBAO LTDA.,Sanctioned by OFAC,OFAC,Entity
Colombia,INMOBILIARIA EL ESCORIAL LTDA.,Sanctioned by OFAC,OFAC,Entity
Colombia,INMOBILIARIA LINARES LTDA.,Sanctioned by OFAC,OFAC,Entity
Colombia,INMOBILIARIA PASADENA LTDA.,Sanctioned by OFAC,OFAC,Entity
Colombia,INVERSIONES LA QUINTA Y CIA. LTDA.,Sanctioned by OFAC,OFAC,Entity
Colombia,LADRILLERA LA CANDELARIA LTDA.,Sanctioned by OFAC,OFAC,Entity
Colombia,MONTOYA LUNA E HIJOS Y CIA. S.C.S.,Sanctioned by OFAC,OFAC,Entity
Colombia,ORGANIZACION LUIS HERNANDO GOMEZ BUSTAMANTE Y CIA S.C.S.,Sanctioned by OFAC,OFAC,Entity
Colombia,VISCAYA LTDA.,Sanctioned by OFAC,OFAC,Entity
Colombia,GOMEZ APONTE,Sanctioned by OFAC,OFAC,Individual
Colombia,GOMEZ GOMEZ,Sanctioned by OFAC,OFAC,Individual
Colombia,GOMEZ JARAMILLO,Sanctioned by OFAC,OFAC,Individual
Colombia,HURTADO ROMERO,Sanctioned by OFAC,OFAC,Individual
Colombia,MENDEZ SALAZAR,Sanctioned by OFAC,OFAC,Individual
Colombia,RUIZ CASTANO,Sanctioned by OFAC,OFAC,Individual
Unknown,ECHEBERRIA SIMARRO,Sanctioned by OFAC,OFAC,Individual
Unknown,ECHEGARAY ACHIRICA,Sanctioned by OFAC,OFAC,Individual
Unknown,IZTUETA BARANDICA,Sanctioned by OFAC,OFAC,Individual
Unknown,VALLEJO FRANCO,Sanctioned by OFAC,OFAC,Individual
Azerbaijan,BENEVOLENCE INTERNATIONAL FOUNDATION,Sanctioned by OFAC,OFAC,Entity
Canada,BENEVOLENCE INTERNATIONAL FUND,Sanctioned by OFAC,OFAC,Entity
Bosnia and Herzegovina,BOSANSKA IDEALNA FUTURA,Sanctioned by OFAC,OFAC,Entity
Unknown,MOROCCAN ISLAMIC COMBATANT GROUP,Sanctioned by OFAC,OFAC,Entity
Kuwait,LAJNAT AL DAAWA AL ISLAMIYYA,Sanctioned by OFAC,OFAC,Entity
Belgium,SAYADI,Sanctioned by OFAC,OFAC,Individual
Cuba,ISAMUDDIN,Sanctioned by OFAC,OFAC,Individual
Indonesia,ABDURRAHMAN,Sanctioned by OFAC,OFAC,Individual
Netherlands,STICHTING BENEVOLENCE INTERNATIONAL NEDERLAND,Sanctioned by OFAC,OFAC,Entity
Unknown,LASHKAR I JHANGVI,Sanctioned by OFAC,OFAC,Entity
Iran,HEKMATYAR,Sanctioned by OFAC,OFAC,Individual
Iraq,ANSAR AL-ISLAM,Sanctioned by OFAC,OFAC,Entity
Unknown,THE RIYADUS-SALIKHIN RECONNAISSANCE AND SABOTAGE BATTALION OF CHECHEN MARTYRS,Sanctioned by OFAC,OFAC,Entity
Unknown,THE SPECIAL PURPOSE ISLAMIC REGIMENT,Sanctioned by OFAC,OFAC,Entity
Unknown,THE ISLAMIC INTERNATIONAL BRIGADE,Sanctioned by OFAC,OFAC,Entity
Zimbabwe,CHIWENGA,Sanctioned by OFAC,OFAC,Individual
Zimbabwe,MNANGAGWA,Sanctioned by OFAC,OFAC,Individual
Zimbabwe,MUCHINGURI,Sanctioned by OFAC,OFAC,Individual
Colombia,VALENCIA TRUJILLO,Sanctioned by OFAC,OFAC,Individual
Colombia,BANANERA AGRICOLA S.A.,Sanctioned by OFAC,OFAC,Entity
